restaurant_code,rating,feeling,customerId,commentText
p86vyy,4,SAD,3583301,پیتزا واقعا بی کیفیت بود، پنیر و کالباس استفاده شده واقعا بد بود در حدی که هیچکس بعد از اسلایس اول سراغ دومین برش نرفت.فیله های سوخاری انگار به جای یک لایه، با چندلایه سوخاری بی مزه پوشیده شده و دقیقا هیچ طعمی نداشت. اصلا از داون تاون انتظار نمیرفت در این حد بی کیفیت بشود. با این کیفیت مواد اولیه قیمت اقلام باید نصف این مبلغ می بود.
p86vyy,6,HAPPY,1966456,اینقدر قیمت بالاست و حجم غذا کم حداقل از مواد غذایی خوب استفاده کنید خب !! کاهو سزار اصلا کاهو چینی و پیچه ۱۰۰ تومن میگیرید مگه چقدر کاهو میبره یه سالاد که اونم دریغ میکنید
p86vyy,6,HAPPY,6435580,نوشابه سوراخ بود و کاملا ریخته شده بود ساندویچ ها سرد سرد بود
p86vyy,4,SAD,554948,"سس سزار فقط طعم آبلیمو داشت نزدیک سس سزار هم نبود
برگر فقط طعم سس بود نه گوشت"
p86vyy,4,SAD,10477319,سرد، کم حجم، و بی کیفیت نسبت به قبل. با این قیمت انتظار بیشتری میرفت.
p86vyy,8,HAPPY,6749775,کیفیت غذا بسیار پایین بود و خیلی شور بود
p86vyy,6,HAPPY,4074148,"من مشتری  شعبه ی دیگه دان تان هستم، برای اولین بار از اینجا سفارش دادم،چیکن برگر
 خام بود،وسط برگر کاملا خام بود."
p86vyy,6,HAPPY,6829234,"همبرگر با این قیمت اندازه نارنگی بود ، کتف سوخاری مونده و بیات بود
متاسفم برای دان تان
هزینه پیک هم ۳۵ هزار تومن
اسنپ فود هم هیچوقت نظرات منفی رو منتشر نمیکنه متاسفانه"
p86vyy,8,HAPPY,1168953,سفارش خیلی سر رسید.
p86vyy,8,HAPPY,6267840,برگر مرغ خیلی بد بود مرغ سوخته بود و طعم خوبی نداشت اصلا باقی سفارشم خوب بود خیلی
p86vyy,10,HAPPY,7743421,مشتری ثابت..بهترین برگر
p86vyy,10,HAPPY,2477770,ممنون عالی بود و به موقع و گرم رسید
p86vyy,8,HAPPY,5186497,"امتیاز مثبت: زمان آماده سازی کوتاه بود 
امتیاز منفی: محتویات وسط پیتزا درست نپخته بود (سوسیسها خام و سرد بودند )، سیب زمینی سرخ کرده بسیار چرب بود .
 
امیدوارم کیفیت را فدای سرعت نکنید"
p86vyy,6,HAPPY,9752911,همبر ها بسیار سرد و ماسیده بودن و انگار ۱۰ ساعت پیش آماده شده بودن
p86vyy,10,HAPPY,5024362,بینظیر
