restaurant_code,rating,feeling,customerId,commentText
0ggvlx,10,HAPPY,1223895,عالی و داغ
0ggvlx,8,HAPPY,9362841,خوب بود
0ggvlx,2,SAD,5564418,خیلی برگرش بد مزه و سرد بود سالاد سازرش که فیله هاش سوخته بود انگار در کل همه چیش افتضاح بود پولم رو ریختم دور
0ggvlx,2,SAD,3383342,گوشت تقریبا سوخته. تحویل غذای کاملا سرد.
0ggvlx,10,HAPPY,5201337,عالی
0ggvlx,8,HAPPY,3381322,"کیفیت خوبه فقط از مقدار سیب زمینی خیلی کم شده 
قبلا اینطوری نبود"
0ggvlx,10,HAPPY,9120914,چیکن  و فیله های برگرلند جدیدا بهتر از قبل شده . دو دفعه ی آخر که سفارش دادم واقعا لدت بردم
0ggvlx,6,HAPPY,4706791,این دفعه یکم شور بود ولی سفارش قبلیم خوب بود.
0ggvlx,8,HAPPY,1479731,یخ رسید 
0ggvlx,8,HAPPY,760306,برگر سرد بود
0ggvlx,8,HAPPY,618792,سرد دستم رسید!
0ggvlx,8,HAPPY,4440928,مرغ که خوب بود، منتها سیب زمینی‌ها مقدار زیادی نامناسب بودن :))
0ggvlx,10,HAPPY,7024771,خوبه
0ggvlx,8,HAPPY,1413689,يكم خشك بود گوشت برگر مثل هميشه نبود اما باز هم ممنون
0ggvlx,8,HAPPY,6557674,مزه‌ی همیشگی رو داشت، ولی فوق‌العاده سرد شده بود و من مجبور شدم گرمش کنم که مزه برگرم رو خراب کرد.
0ggvlx,6,HAPPY,1239609,قیمت به شدت افزایش یافته درحالیکه کیفیت مثل قبله!
0ggvlx,10,HAPPY,9753108,عالی بود و به موقع رسید
0ggvlx,8,HAPPY,598724,متاسفانه با وجود کم بودن فاصله، سفارش سرد بود.
0ggvlx,10,HAPPY,447397,شعبه جم سنتر عالي براي دومين باره سفارش ميدم و راضي بودم خسته نباشيد
0ggvlx,10,HAPPY,9120914,کیفیت چیکن و فیله هاتون خیلی بهتر ازقبل شده .امیدوارم همین روند رو دنبال کنید چون من اکثر مواقع این دوتا رو سفارش میدم.
0ggvlx,10,HAPPY,7005648,خیلی خوشمزه بود بازم می خوام
0ggvlx,10,HAPPY,10344458,عالی
0ggvlx,10,HAPPY,11710775,چیکن فیله هاتون نسبت به قبل خیلی تازه تر و بهترشده .ممنون
0ggvlx,10,HAPPY,3987264,عالی بود
0ggvlx,10,HAPPY,242699,خوشمزه بود ، ممنون
0ggvlx,6,HAPPY,9027134,اصلا مثل همیشه نبود
0ggvlx,10,HAPPY,9753108,خوشمزه بود ولی کاش سیب زمینی هاش بیشتر باشه
0ggvlx,10,HAPPY,5690414,کیفیت خوب بود به موقع هم رسید. ممنون
0ggvlx,10,HAPPY,142002,عالی
0ggvlx,6,HAPPY,387330,سالاد سزار اصلا خوب نبود
0ggvlx,10,HAPPY,6753048,گود
0ggvlx,10,HAPPY,12111935,گفتم سس اضافه بزارید، نزاشتن
0ggvlx,8,HAPPY,954491,مرغ سوخاری بی نهایت بد بود اما زینگر مثل همیشه عالی
0ggvlx,4,SAD,2779180,حجم بسیار کم
0ggvlx,10,HAPPY,3508171,عالي
0ggvlx,10,HAPPY,7633013,خیلی سریع رسید و‌غذا گرم و خوب بود
0ggvlx,10,HAPPY,1305177,عالی بود
0ggvlx,8,HAPPY,835605,غذا کاملا سرد رسید دستم
0ggvlx,8,HAPPY,11951868,کیفیت غذا خوب بود ولی کیفیت سیب زمینی کناره فیله کم بود
0ggvlx,8,HAPPY,419366,سیب زمینی خوب نبود بود ولی کیفیت غذا خوب بود 
0ggvlx,10,HAPPY,4280353,همه چیز عالی و درجه یک.ممنون
0ggvlx,8,HAPPY,1192079,ارسال دیر
0ggvlx,10,HAPPY,5177144,عالی مثل همیشه
