restaurant_code,rating,feeling,commentText,customerId
37z49n,10,HAPPY,خيلي تميز و عالي بود برخورد دوست عزيزي كه سفارش را تحويل دادن بسيار محترمانه بود  در كل همه چيز عالي,5000031
37z49n,10,HAPPY,"خوشمزه و تحویل به موقع

نکته منفی عدم ارسال نان",4411916
37z49n,10,HAPPY,خوشمزه،گرم،تحويل سريع و به موقع.,4992333
37z49n,10,HAPPY,عالی و‌خوشمزه ،ما که مشتری شدیم,2655535
37z49n,10,HAPPY,خیلی تمیز و کیفیت عالی,7818581
37z49n,10,HAPPY,عالی بود دستتون درد نکنه خیلی با کیفیت بودش، همه چیز به اندازه بود زین پس فقط از شما کله پاچه میگیریم,3477971
37z49n,10,HAPPY,"سلام
همه چی عالی
ممنون
گفتن :چون هزینه بسته بندی روزیاد گرفتیم،یک چشم مهمان ما.
بااینکه فراموش کرده بودم،سفارش آب بدم
برام ارسال کرده بودن
ممنون ازشما واسنپ",933152
37z49n,10,HAPPY,بسیار عالی وتمیز ممنونم که به توضیحات توجه کردید,3406279
37z49n,10,HAPPY,"خيلي عالي و خوش طعم بود 
با تشكر از مجموعه سرو",4268727
37z49n,10,HAPPY,غذا خوب بود به موقع رسید زبان برای ما ارسال نکرده بودند ‌و خودشون تماس گرفتند زبان برامون ارسال کردند به همراه نان ممنون از مدیریت مجموعه,10413052
37z49n,10,HAPPY,بسیار تمیز و خوشمزه.,7037578
37z49n,10,HAPPY,سلام، کیفیت غذا عالی، بسته بندی عالی، دمای غذا عالی، ارسال و تحویل عالی. ممنونم,13935571
37z49n,10,HAPPY,"کله پاچه به این تمیزی ، تازگی  و خوشمزگی نخورده بودم واقعا عالی بود امیدوارم همیشه کیفیتتون همینطور عالی بمونه.
موفق و قدرتمند باشید",8180542
37z49n,10,HAPPY,بسیار باکیفیت و عالی,12060017
37z49n,10,HAPPY,عالی بود . ممنونم ازتون . حتی من لیمو خواسته بودم و با اینکه نداشتید زحمت کشیده بودید و‌برام تهیه کرده بودید .,3384416
37z49n,2,SAD,,2063379
37z49n,10,HAPPY,واقعا مرسی، این سفارشی که من دادم ۳ نفرو کامل سیر میکنه، ممنون بابت همه چی و نان تازه,9152022
37z49n,8,HAPPY,گوشت یه مقدار کیفیتش پایین بود، نان هم خیلی بیات، ولی معجون عالی بود,9152022
0q5d6x,2,SAD,بیشتر پیتزای سیب زمینی سرخ کرده بود تا مرغ. بسیار چرب و پر روغن. به ندرت میشد مرغ توش پیدا کرد. واقعاً افتضاح. براساس امتیاز اولین بار بود خرید کردم. چطور ستاره بالا می گیرند نمی دونم. نتونستم بخورم,1469407
0q5d6x,8,HAPPY,قيمت بالا نسبت به ديگر فست فود هاي مشابه,7302792
0q5d6x,10,HAPPY,عالی,11328218
0q5d6x,4,SAD,مطابق با چیزی داخل منو نوشته نبود و سس سفیدش خیلی زیاد بود و داغ نبود,1034598
0q5d6x,2,SAD,"يكي از بدترين تجربيات من از سفارش غذا از اسنپ فود بود
كيفيت غذا به شدت پايين بود
شنيتسل مرغ دو تكه كوچيك و فوق العاده خشك بود
سالاد سزار اصلااااسزار نبود! اين رستورانا يعني رسپي سس سزار رو نميدونن؟؟؟",1045491
0q5d6x,6,HAPPY,غذا کاملآ سرد تحویل داده شد و کیفیت گذشته را نداشت این آخرین باری بود که از اینجا سفارش دادم,8174377
0q5d6x,8,HAPPY,"حجم سوسیس در غذای سینی سوسیس کم بود و واقعا این غذا ۱۰۷ هزارتومن نمی ارزید 
پیتزای رست بیفم متوسط و خوب بود ",1297585
0q5d6x,8,HAPPY,چیز برگر عالی، سیب مخصوص عالی، برگر مخصوص خیلی بد بود، انقدر سس سفید داشت خراب کرده بود طعم برگر رو، در حدی که نمی شد خورد از سس زیاد,2068951
0q5d6x,6,HAPPY,با درود و خدا قوت، طبق قبلآ که پیتزای چیکن استراگانوف را چندین مرتبه سفارش داده بودم و فوق العاده بود انتظاری مشابه داشتم متآسفانه ساندویچ ها خیلی هم از لحاظ کیفی و هم از لحاظ کمی بی کیفیت بود.,8174377
0q5d6x,2,SAD,کیفیتش بالا نیست بعدم همبرگر و نونشو سوزونده بودن  در کل ناراضی,1285323
0q5d6x,8,HAPPY,غذا اصلا كيفيت هميشگي نداشت,3405353
0q5d6x,10,HAPPY,خوب بود ولی چقدر گرون؟؟؟,5181466
0q5d6x,10,HAPPY,"مثل همیشه عالی بود 
بسته بندی جذاب
و خیلی سریع به دستمون رسید
ممنونم",1931388
0q5d6x,10,HAPPY,"همه چی عالی
ممنون",1389003
0q5d6x,8,HAPPY,پیک دیر رسید و رستوران هم غذارو دیر اماده کرده بود و غذا سرد بود,3971338
0q5d6x,10,HAPPY,"انصافاً خيلى خوب بود اما آخه گوشت چرخ كرده به پيتزا پپرونى چه ربطى داره؟!خوب بود كه گوشتش كم بود
ولى خوشمزه بود",1386811
0q5d6x,10,HAPPY,مثل همیشه پر پر و پیمون‌ و خوشمزه,2063974
0q5d6x,10,HAPPY,چقدر بگم خوشمزس بابا!!!!,2063974
0q5d6x,8,HAPPY,غذا واقعا عالی بود ,3043839
0q5d6x,10,HAPPY,بي نظير بود.فقط اگر سرويس قاشق چنگال هم لحاظ ميكردين بهتر بود.مچكرممم,6907805
0q5d6x,10,HAPPY,خوشمزه و با کیفیت. مشتری همیشگی هستم و خواهم بود,2063974
