restaurant_code,rating,feeling,commentText,customerId
0rv279,8,HAPPY,ای کاش وقتی پول اضافه بابت لیمو ترش میدم داخل سفارش همان لیمو ترش را بفرستید نه نارنج، اگر لیمو ترش ندارید بنویسید و پول اضافه بابت آن دریافت نکنید,161433
0rv279,8,HAPPY,در کل خوب بود، البته مثل دوستان نشمردم ببینم چی کم و کسری داره، مشکل بزرگش مغزش بود که فوق‌العاده شور و بسیار کوچک بود.,1434459
0rv279,6,HAPPY,نپخته بود,4309917
0rv279,4,SAD,به جای بناگوش فقط گوشت گذاشته بودند ....,4577786
0rv279,10,HAPPY,در توضیحات نوشته بودم روغن نریزند، اما روی سیرابی روغن داشت.,3690935
0rv279,6,HAPPY,کله پاچه یک دست کامل بود ولی مغز و زبان نداشت,1475949
0rv279,10,HAPPY,گرم رسید و این خیلی خوب بود. فقط در ظرف رو درست نبسته بودند داخل کیسه ریخته بود .,2039523
0rv279,10,HAPPY,عالی خوشمزه,1140273
0rv279,8,HAPPY,سیرابی فاقد شیردون بود و اصلا نمک نداشت و خیلی اب ریخته بودن داخلش,4777350
0rv279,6,HAPPY,طعم کله پاچه مثل یخ زده بود ولی سیرابی خوب بود,5251544
0rv279,8,HAPPY,خیلی پخته بود در حدی که دیگه له شده بود.,185538
0rv279,6,HAPPY,"سرد و همه چیز در یک سطل کوچیک بدون آبگوشت و ….
۱۰ تومان بسته بندی گرفتند ولی افتضاح بود بسته بندی و تحویل ….",3714166
0rv279,10,HAPPY,نان کم‌بود,1397369
0rv279,6,HAPPY,کیفیت نان بسیار پایین بود,1397369
0rv279,4,SAD,نان مانده و كاملا بيات و قابل خوردن نبود,258502
0rv279,2,SAD,پاچه كه كمتر از سفارش بود سيراب شيردان هم به اندازه يك پرس و نيم بود نه يك دست كامل و فقط سيرابي بود بدون هيچ چيز ديگه اي اصلا راضي نبودم,757926
0rv279,2,SAD,زبان نپخته بود و مزه گوشت لخم خیلی بد بود.,9285675
0rv279,10,HAPPY,عالي بوذ فقط لطفا آبگوشت رو سرخالي تر بريزيد كه نريزه و كثيف كاري نشه,9045962
0rv279,2,SAD," من گوشت سفارش دادم دو عدد اما کلا یه نصفه گوشت گذاشته بودن بقیشو  زبان 
یعنی فکر کردن ما گوشت از زبان تشخیص نمیدیم؟؟؟!!!!! ",4078221
0rv279,6,HAPPY,آب گوشت شور بودونان تازه نبود,4517766
0rv279,2,SAD,من زیاد به اینجا سفارش میدم ولی ایندفعه واقعا کیفیت پایین داشت ,7512268
0rv279,2,SAD,"اصلا راضی نبودم . گوشت لخم لو می داد و معلومه تازه نبوده . 
پاچه ها اصلا خوب نیود . در کل کیفیت بسیار پایینی داشت . اصلا توصیه نمیکنم. ",334718
0rv279,6,HAPPY,شور بود,6624699
0rv279,8,HAPPY,خوب بود,932162
0rv279,8,HAPPY,مقدار گوشت در یک دست‌کله پاچه کم بود ,7818498
0rv279,6,HAPPY,چرا یک دست سیرابی اصلا هزارلا نداشت؟؟؟؟,1364297
0rv279,6,HAPPY,زبان داخل کله پاچه نبود,5111448
0rv279,8,HAPPY,زبان بسیار کوچک بود,3337478
0rv279,8,HAPPY,پول بسته بندي گرفتن اما بسته بندي معمولي بود كاشكي بنا گوشو و زبان جدا جدا ميزاشتن,5078411
0rv279,6,HAPPY,کله بسیار کوچک بود ،,307075
0rv279,6,HAPPY,یک دست کامل سفارش دادم ولی پاچه و چشم نداشت,4624692
0rv279,8,HAPPY,اندازه پاچه ها خیلی کوچک بود !,6189283
0rv279,2,SAD,یک زبان اضافه سفارش داده بودم نذاشتند، چشم هم نبود.,12324115
0rv279,2,SAD,افتضاح,5693906
0rv279,8,HAPPY,زبونش خیلی کوچیک بود مقدار گوشت بسیار کم بود,2798725
0rv279,8,HAPPY,خوب بود,407524
0rv279,10,HAPPY,خیلی خوب و خوشمزه بدون ضعف بود,7786374
0rv279,10,HAPPY,بسیار کیفیت عالی و مرتب ارسال شد سپاس,9968353
0rv279,6,HAPPY,همیشه خوب بود ولی اینسری کاملا سرد و بی مزه بود,8226648
0rv279,10,HAPPY,كيفيت و مزه كاملا خوب بود,794814
0rv279,10,HAPPY,عالی بود ممنون,3553841
0rv279,10,HAPPY,خوب بود,8097201
0rv279,10,HAPPY,طعم و کیفیت عالی مثل همیشه ما فقط مشتری شما هستیم,280388
0rv279,10,HAPPY,عالی بود. فقط دیر رسید,9816834
0rv279,6,HAPPY,نان به مقدار کافی نبود، غذا کاملا سرد بود، و یک ساعت نیم زمان برد تا زمان تحویل ولی کیفیت غذا خوب بود.,7728611
0rv279,10,HAPPY,خوب بود.,4204438
0rv279,10,HAPPY,بسته بندی، حجم غذا، طعم غذا ولقعا درجه ۱ ممنون.,7082118
0rv279,10,HAPPY,عالی,5072671
0rv279,10,HAPPY,خوب بود,1257629
0rv279,10,HAPPY,واقعأ با کیفیت و عالی,6928303
0rv279,10,HAPPY,عالی بود,2911888
0rv279,10,HAPPY,"سلام 
برای چند نفر سفارش داده بودم‌
اصلا تفکیک خوبی نداشت ، یعنی من فکر می کردم مثل تمام غذاهای دیگه و سفارش از جاهای دیگه برای هر نفر یک ظرف جداست ، اما نبود.",2784739
0rv279,10,HAPPY,سريع، گرم و در بسته بندى عالى ,2004067
