restaurant_code,rating,feeling,commentText,customerId
0966rd,8,HAPPY,پنیرش کمتر بود بهتر میشد.,8049656
0966rd,2,SAD,پاستا در واقع یک ماکارونی سوخته بود ، گوشت برگر هم نیم پز بود,1217139
0966rd,6,HAPPY,خوب نبود واقعا طعمش,11686736
0966rd,6,HAPPY,مزه خاصی نداشت، نان خودش هم برای جذابیت ظاهری بد نبود اما طعم مناسبی نداشت,4831257
0966rd,4,SAD,مرغ کاملا مونده بود و تلخ بود. کل سالاد رو ریختم دور. سس هم که اصلا سس سزار نبود توش خردل داشت! از ژوان توقع نداشتم اینقدر افتضاح باشه..,7710190
0966rd,6,HAPPY,حجمش کم شده که دیگه عادیه ولی کیفیت مرغ های سالادش هم به شدت اومده پایین,1244617
0966rd,8,HAPPY,بسیار معمولی. به نسبت قیمت اصلا نمی‌ارزه,4634507
0966rd,6,HAPPY,"برگرها سرد بودند
سیب زمینیها گرم",5186497
0966rd,2,SAD,"پیتزا بیف فقط پنیر بودوخیلی بدبود
بیشتراز ۱ساعت طول کشید تا مغایرت سفارشم ارسال بشه",6559979
0966rd,6,HAPPY,حجم مرغ داخل پاستا نسبت به قیمتی که داره بسیار کم بود.خود پاستا هم حجم کمی داشت.,5090934
0966rd,10,HAPPY,عالی بود ممنونم,3800973
0966rd,10,HAPPY,عالی,9436850
0966rd,10,HAPPY,بسيار خوشمزه و عالي و گرم بود ممنونم,8578829
0966rd,2,SAD,سیب زمینی نپخته و خمیر شده بود، سیب زمینی آماده بازاری با سوسیس و کالباس بی کیفیت بود. سالاد حجم زیادی کاهو داشت و حجم بقیه موادش متناسب با کاهو نبود. کیفیت ژ ۱ به شدت افت کرده آخرین سفارشم بود از این رستوران متاسفم.,1188917
0966rd,6,HAPPY,سرد بود,8121318
0966rd,10,HAPPY,سالاد مثل همیشه جذاب ,838524
0966rd,10,HAPPY,غذا عالی,9808532
0966rd,10,HAPPY,پیتزاتون واقعا خوشمزه ست. پاستا خوبه. ,5625845
0966rd,8,HAPPY,پاستا عالی بود ولی نون سیر خیلی  روغنی بود,2924515
0966rd,10,HAPPY,دیر اومد,3424347
0966rd,6,HAPPY,در منو نوشتن بيكن ، ولي كالباس گذاشتن،ولي بقيه عالي، مخصوصا طعم سوسيس سوخاري و نون هاي متنوع و خوشمزه، حجم غذا هم عالي بود، سه نفري سير شديم,873942
0966rd,10,HAPPY,عالی,10363107
0966rd,10,HAPPY,مثل همیشه عالی . ممنون,3044647
0966rd,10,HAPPY,با اینکه سفارشمو پیک بدستم نرسوندن و خودم رفتم گرفتم اما ارزششو داشت. از نظر کیفیت و مزه بی نظیر بود.,3044647
0966rd,10,HAPPY,خیلی عالی بود,2789302
0966rd,10,HAPPY,کیفیت غذا بینظیر بود,4390276
0966rd,10,HAPPY,با سلام ، کیفیت بسیار عالی بود ، سپاس,3335353
0966rd,10,HAPPY,بهترین انتخاب و بالا ترین کیفیت ,12992393
0966rd,10,HAPPY,سالاد بسيار خوشمزه بود ,13472857
0966rd,6,HAPPY,قبلا خیلی عالی بود!! گمونم سفارشهاشون زیاده,3499570
0966rd,10,HAPPY,پیتزا پر ملات و با کیفیت بود ممنون ,737912
0966rd,2,SAD,"اصلا انتظار همچین پیتزای بدی رو  از ژوان نداشتن 
من این پیتزا رو بیشتر از ۱۰ بار سفارش داده بودم و همیشه عالی بود ولی این بار بشدت بد بود اصلا مزه دودی نمیداد",1195153
0966rd,10,HAPPY, هم طعم فوق العادهای داشت و هم خیلی زیاد بود،عالی,4011415
0966rd,10,HAPPY,خوشمزه و بسیار با کیفیت,3800973
0966rd,10,HAPPY,عالیییییی و خوشمزه,3800973
